title,text
Fake Cure,Drinking salt water every morning can cure diabetes in 7 days.
Alien News,NASA confirmed that aliens landed on Earth last night.
WhatsApp Scam,Government is giving 10 lakh rupees to everyone who forwards this message.
Health Myth,Eating noodles twice a week causes permanent brain damage.
Magic Solution,A special herb can grow hair overnight without any treatment.
Instant Wealth,This website guarantees double money in 24 hours.
Secret Formula,Doctors hide a secret pill that cures all diseases.
Miracle Drink,This juice can reverse aging in one month.
Fake Alert,Mobile radiation instantly damages the human brain.
Shocking Claim,Earth will stop rotating for five minutes next week.
